Company,Location,Country,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,10/4/1957,19:28:00,Sputnik 8K71PS,Sputnik-1,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,11/3/1957,2:30:00,Sputnik 8K71PS,Sputnik-2,Retired,0,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,12/6/1957,16:44:00,Vanguard,Vanguard TV3,Retired,0,Failure
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA", USA,2/1/1958,3:48:00,Juno I,Explorer 1,Retired,0,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,2/5/1958,7:33:00,Vanguard,Vanguard TV3BU,Retired,0,Failure
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA", USA,3/5/1958,18:27:00,Juno I,Explorer 2,Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,3/17/1958,12:15:00,Vanguard,Vanguard 1,Retired,0,Success
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,3/26/1958,17:38:00,Juno I,Explorer 3,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,4/27/1958,9:01:00,Sputnik 8A91,Sputnik-3 #1,Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,4/28/1958,2:53:00,Vanguard,Vanguard TV5,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,5/15/1958,7:12:00,Sputnik 8A91,Sputnik-3 #2,Retired,0,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,5/28/1958,3:46:00,Vanguard,Vanguard SLV-1,Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,6/26/1958,5:00:00,Vanguard,Vanguard SLV-2,Retired,0,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA", USA,7/25/1958,,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,0,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,7/26/1958,15:00:00,Juno I,Explorer 4,Retired,0,Success
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA", USA,8/12/1958,,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,8/17/1958,12:18:00,Thor-DM 18 Able I,Pioneer 0,Retired,0,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA", USA,8/22/1958,,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,0,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,8/24/1958,6:17:00,Juno I,Explorer 5,Retired,0,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA", USA,8/25/1958,,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,0,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA", USA,8/26/1958,,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,0,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA", USA,8/29/1958,,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,9/23/1958,7:40:00,Vostok,E-1 n†­1 (Luna-1),Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,9/26/1958,15:38:00,Vanguard,Vanguard SLV-3,Retired,0,Failure
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,10/11/1958,8:42:00,Thor-DM 18 Able I,Pioneer 1,Retired,0,Partial Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,10/11/1958,21:41:00,Vostok,E-1 n†­2 (Luna-1),Retired,0,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,10/23/1958,3:21:00,Juno I,Beacon 1,Retired,0,Failure
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,11/8/1958,7:30:00,Thor-DM 18 Able I,Pioneer 2,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,12/4/1958,18:18:00,Vostok,E-1 n†­3 (Luna-1),Retired,0,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,12/6/1958,5:44:00,Juno II,Pioneer 3,Retired,0,Partial Failure
US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA", USA,12/18/1958,23:02:00,SM-65B Atlas,SCORE,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,1/2/1959,16:41:00,Vostok,Luna-1,Retired,0,Partial Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,2/17/1959,15:55:00,Vanguard,Vanguard 2,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,2/28/1959,21:49:00,Thor-DM18 Agena-A,Discoverer 1,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,4/13/1959,21:18:00,Thor-DM18 Agena-A,Discoverer 2,Retired,0,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,4/14/1959,2:49:00,Vanguard,Vanguard SLV-5,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,6/3/1959,20:09:00,Thor-DM18 Agena-A,Discoverer 3,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,6/18/1959,8:08:00,Vostok,E-1A n†­1 (Luna-2),Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,6/22/1959,20:16:00,Vanguard,Vanguard SLV-6,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,6/25/1959,22:47:00,Thor-DM18 Agena-A,Discoverer 4,Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,8/7/1959,14:24:00,Thor DM-18 Able-III,Explorer 6,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,8/13/1959,19:00:00,Thor-DM18 Agena-A,Discoverer 5,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,8/19/1959,19:24:00,Thor-DM18 Agena-A,Discoverer 6,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA", USA,9/9/1959,8:19:00,Atlas-D Mercury,Big Joe 1,Retired,0,Partial Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,9/12/1959,6:39:00,Vostok,Luna-2,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,9/17/1959,14:34:00,Thor DM-18 Able-II,Transit 1A,Retired,0,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA", USA,9/18/1959,5:20:00,Vanguard,Vanguard 3,Retired,0,Partial Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,10/4/1959,0:43:00,Vostok,Luna-3,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,11/7/1959,20:28:00,Thor-DM18 Agena-A,Discoverer 7,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,11/20/1959,19:25:00,Thor-DM18 Agena-A,Discoverer 8,Retired,0,Failure
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA", USA,11/26/1959,7:26:00,Atlas-D Able,Pioneer P-3,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,2/4/1960,18:51:00,Thor-DM18 Agena-A,Discoverer 9,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,2/19/1960,20:15:00,Thor-DM18 Agena-A,Discoverer 10,Retired,0,Failure
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA", USA,2/26/1960,17:25:00,Atlas-LV3 Agena-A,Midas 1,Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,3/11/1960,13:00:00,Thor DM-18 Able-IV,Pioneer 5,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,4/1/1960,11:40:00,Thor DM-18 Able-II,TIROS-1,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,4/13/1960,12:02:00,Thor-DM21 Ablestar,Transit 1B,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,4/15/1960,15:06:00,Vostok,E-3 n†­2 (Luna-3),Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,4/15/1960,20:30:00,Thor-DM18 Agena-A,Discoverer 11,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,4/16/1960,,Vostok,E-3 n†­3 (Luna-3),Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,5/13/1960,9:16:00,Thor DM-19 Delta,Echo 1,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,5/15/1960,0:00:00,Vostok,Korabl-Sputnik 1,Retired,0,Success
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA", USA,5/24/1960,17:36:00,Atlas-LV3 Agena-A,Midas 2,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,6/22/1960,5:54:00,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,6/29/1960,22:00:00,Thor-DM18 Agena-A,Discoverer 12,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,7/28/1960,9:31:00,Vostok,1K n†­2 (Korabl-Sputnik 2),Retired,0,Failure
NASA,"LC-14, Cape Canaveral AFS, Florida, USA", USA,7/29/1960,13:13:00,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,8/10/1960,20:37:00,Thor-DM18 Agena-A,Discoverer 13,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,8/12/1960,9:39:00,Thor DM-19 Delta,Echo 1A,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,8/18/1960,19:57:00,Thor-DM18 Agena-A,Discoverer 14,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,8/18/1960,19:58:00,Thor-DM21 Ablestar,Courier 1A,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,8/19/1960,8:44:00,Vostok,Korabl-Sputnik 2,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,9/13/1960,22:14:00,Thor-DM18 Agena-A,Discoverer 15,Retired,0,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA", USA,9/25/1960,15:13:00,Atlas-D Able,Pioneer P-30,Retired,0,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,10/4/1960,17:50:00,Thor-DM21 Ablestar,Courier 1B,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,10/10/1960,14:27:00,Molniya,1M n†­1 (Marsnik 1),Retired,0,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA", USA,10/11/1960,20:33:00,Atlas-LV3 Agena-A,Samos 1,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,10/14/1960,13:51:00,Molniya,1M n†­2 (Marsnik 2),Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,10/26/1960,20:26:00,Thor DM-21 Agena-B,Discoverer 16,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,11/12/1960,20:43:00,Thor DM-21 Agena-B,Discoverer 17,Retired,0,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,11/21/1960,14:00:00,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,11/23/1960,11:13:00,Thor DM-19 Delta,TIROS-2,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,11/30/1960,19:50:00,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,12/1/1960,7:30:00,Vostok,Korabl-Sputnik 3,Retired,0,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA", USA,12/4/1960,21:14:00,Scout X-1,Explorer (S-56),Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,12/7/1960,20:20:00,Thor DM-21 Agena-B,Discoverer 18,Retired,0,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA", USA,12/15/1960,9:10:00,Atlas-D Able,Pioneer P-31,Retired,0,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,12/19/1960,16:15:00,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,12/20/1960,20:32:00,Thor DM-21 Agena-B,Discoverer 19,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,12/22/1960,7:45:00,Vostok,1K n†­5 (Korabl-Sputnik 3),Retired,0,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,1/31/1961,16:55:00,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA", USA,1/31/1961,20:21:00,Atlas-LV3 Agena-A,Samos 2,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,2/4/1961,1:18:00,Molniya,1VA n†­1 (Venera 1),Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,2/12/1961,0:34:00,Molniya,Venera 1,Retired,0,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA", USA,2/16/1961,13:05:00,Scout X-1,Explorer 9 (S-56A),Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,2/17/1961,20:25:00,Thor DM-21 Agena-B,Discoverer 20,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,2/18/1961,22:58:00,Thor DM-21 Agena-B,Discoverer 21,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA", USA,2/21/1961,14:12:00,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,2/22/1961,3:45:00,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,3/9/1961,6:29:00,Vostok,Korabl-Sputnik 4,Retired,0,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,3/24/1961,17:30:00,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,3/25/1961,5:54:00,Vostok,Korabl-Sputnik 5,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,3/25/1961,15:17:00,Thor DM-19 Delta,Explorer 10,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,3/30/1961,20:34:00,Thor DM-21 Agena-B,Discoverer 22,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,4/8/1961,19:21:00,Thor DM-21 Agena-B,Discoverer 23,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,4/12/1961,6:07:00,Vostok,Vostok 1,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA", USA,4/25/1961,16:15:00,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,0,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,5/5/1961,14:34:00,Mercury-Redstone,Freedom 7 (MR-3),Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,6/8/1961,21:16:00,Thor DM-21 Agena-B,Discoverer 24,Retired,0,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA", USA,6/16/1961,23:02:00,Thor DM-21 Agena-B,Discoverer 25,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,6/29/1961,4:22:00,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,0,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA", USA,6/30/1961,17:09:00,Scout X-1,Explorer (S-55),Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,7/7/1961,23:29:00,Thor DM-21 Agena-B,Discoverer 26,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,7/12/1961,10:25:00,Thor DM-19 Delta,TIROS-3,Retired,0,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA", USA,7/12/1961,15:11:00,Atlas-LV3 Agena-B,Midas 3,Retired,0,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA", USA,7/21/1961,12:36:00,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,7/21/1961,22:35:00,Thor DM-21 Agena-B,Discoverer 27,Retired,0,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA", USA,8/4/1961,0:01:00,Thor DM-21 Agena-B,Discoverer 28,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,8/6/1961,6:00:00,Vostok,Vostok 2,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,8/16/1961,3:21:00,Thor DM-19 Delta,Explorer 12,Retired,0,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA", USA,8/23/1961,10:04:00,Atlas-LV3 Agena-B,Ranger 1,Retired,0,Failure
NASA,"LA-3, Wallops Flight Facility, Virginia, USA", USA,8/25/1961,18:29:00,Scout X-1,Explorer 13,Retired,0,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,8/30/1961,20:00:00,Thor DM-21 Agena-B,Discoverer 29,Retired,0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA", USA,9/9/1961,19:28:00,Atlas-LV3 Agena-B,Samos 3,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,9/12/1961,19:59:00,Thor DM-21 Agena-B,Discoverer 30,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA", USA,9/13/1961,14:04:00,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,0,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA", USA,9/17/1961,21:00:00,Thor DM-21 Agena-B,Discoverer 31,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,10/13/1961,19:22:00,Thor DM-21 Agena-B,Discoverer 32,Retired,0,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA", USA,10/21/1961,13:53:00,Atlas-LV3 Agena-B,Midas 4,Retired,0,Partial Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,10/23/1961,19:23:00,Thor DM-21 Agena-B,Discoverer 33,Retired,0,Failure
RVSN USSR,"Mayak-2, Kapustin Yar, Russia", Russia,10/27/1961,16:30:00,Cosmos-2I (63S1),DS-1 1,Retired,0,Failure
NASA,"LC-18B, Cape Canaveral AFS, Florida, USA", USA,11/1/1961,15:32:00,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,0,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA", USA,11/5/1961,20:00:00,Thor DM-21 Agena-B,Discoverer 34,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,11/15/1961,21:23:00,Thor DM-21 Agena-B,Discoverer 35,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,11/15/1961,22:26:00,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,0,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA", USA,11/18/1961,8:12:00,Atlas-LV3 Agena-B,Ranger 2,Retired,0,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA", USA,11/22/1961,20:45:00,Atlas-LV3 Agena-B,Samos 4,Retired,0,Failure
NASA,"LC-14, Cape Canaveral AFS, Florida, USA", USA,11/29/1961,15:08:00,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,12/11/1961,9:39:00,Vostok,Zenit-2 n†­1,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,12/12/1961,20:40:00,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,0,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia", Russia,12/21/1961,12:30:00,Cosmos-2I (63S1),DS-1 2,Retired,0,Failure
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA", USA,12/22/1961,19:12:00,Atlas-LV3 Agena-B,Samos 5,Retired,0,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,1/13/1962,21:41:00,Thor DM-21 Agena-B,Discoverer 37,Retired,0,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,1/24/1962,9:30:00,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,0,Failure
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA", USA,1/26/1962,20:30:00,Atlas-LV3 Agena-B,Ranger 3,Retired,0,Partial Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,2/8/1962,12:43:00,Thor DM-19 Delta,TIROS-4,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA", USA,2/20/1962,14:47:00,Atlas-D Mercury,Friendship 7 (MA-6),Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,2/21/1962,18:44:00,Thor DM-21 Agena-B,FTV 2301,Retired,0,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,2/27/1962,19:39:00,Thor DM-21 Agena-B,Discoverer 38,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,3/7/1962,16:06:00,Thor DM-19 Delta,OSO-1,Retired,0,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA", USA,3/7/1962,22:10:00,Atlas-LV3 Agena-B,Samos 6,Retired,0,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia", Russia,3/16/1962,11:59:00,Cosmos-2I (63S1),Cosmos 1,Retired,0,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia", Russia,4/6/1962,17:15:00,Cosmos-2I (63S1),Cosmos 2,Retired,0,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA", USA,4/9/1962,15:04:00,Atlas-LV3 Agena-B,Midas 5,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,4/18/1962,0:54:00,Thor DM-21 Agena-B,Discoverer 39,Retired,0,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA", USA,4/23/1962,20:50:00,Atlas-LV3 Agena-B,Ranger 4,Retired,0,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia", Russia,4/24/1962,4:00:00,Cosmos-2I (63S1),Cosmos 3,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,4/26/1962,10:02:00,Vostok,Cosmos 4,Retired,0,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA", USA,4/26/1962,10:49:00,Scout X-2,Solrad 4B,Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,4/26/1962,18:00:00,Thor DM-19 Delta,Ariel 1,Retired,0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA", USA,4/26/1962,18:56:00,Atlas-LV3 Agena-B,Samos 7,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,4/29/1962,0:30:00,Thor DM-21 Agena-B,FTV 1125,Retired,0,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA", USA,5/8/1962,19:49:00,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,0,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,5/10/1962,12:06:00,Thor-DM21 Ablestar,ANNA 1A,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,5/15/1962,19:36:00,Thor DM-21 Agena-B,FTV 1126,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA", USA,5/24/1962,12:45:00,Atlas-D Mercury,Aurora 7 (MA-7),Retired,0,Success
US Air Force,"SLC-5, Vandenberg AFB, California, USA", USA,5/24/1962,,Scout X-2M,DSAP-1 F1 (Program 35),Retired,0,Failure
RVSN USSR,"Mayak-2, Kapustin Yar, Russia", Russia,5/28/1962,3:00:00,Cosmos-2I (63S1),Cosmos 5,Retired,0,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA", USA,5/30/1962,1:00:00,Thor DM-21 Agena-B,FTV 1128,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Multinational,6/1/1962,9:37:00,Vostok-2,Zenit-2 n†­3,Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA", USA,6/2/1962,0:31:00,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,Retired,0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA", USA,6/17/1962,18:14:00,Atlas-LV3 Agena-B,Samos 8,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA", USA,6/18/1962,20:20:00,Thor DM-21 Agena-B,FTV 2312,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,6/19/1962,12:19:00,Thor DM-19 Delta,TIROS-5,Retired,0,Success
