Company,Location,Country,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
MHI,"SLC-N, Tanegashima Space Center, Japan", Japan,8/28/1990,9:05:00,H-I (9 SO),BS-3A (Yuri-3A),Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,8/28/1990,15:45:00,Cosmos-3M (11K65M),Cosmos 2098,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,8/30/1990,22:46:00,Ariane 44L,"Skynet 4C, Eutelsat 2F1",Retired,0,Success
CASC,"Taiyuan Satellite Launch Center, China", China,9/3/1990,0:53:00,Long March 4A,Fengyun-1B,Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,9/14/1990,5:59:00,Cosmos-3M (11K65M),Cosmos 2100,Retired,0,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia", Russia,9/20/1990,20:16:00,Molniya-M /Block ML,Molniya-3 n†­145,Retired,0,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia", Russia,9/28/1990,7:30:00,Tsyklon-3,Meteor-2 n†­20,Retired,0,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,10/2/1990,5:39:00,Delta II 6925,USA-63 (GPS II-8),Retired,0,Success
RVSN USSR,"Site 45/2, Baikonur Cosmodrome, Kazakhstan",Multinational,10/4/1990,4:27:00,Zenit-2,Tselina-2 n†­8,Retired,0,Failure
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China", China,10/5/1990,6:14:00,Long March 2C,FSW-1 No.3,Active,30800000,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA", USA,10/6/1990,11:47:00,Space Shuttle Discovery,STS-41,Retired,450000000,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,10/12/1990,22:58:00,Ariane 44L,"SBS-6, Galaxy-6",Retired,0,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,10/18/1990,5:39:00,Delta II 6925,Thor 1,Retired,0,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,10/30/1990,23:16:00,Delta II 6925,Inmarsat-2 F1,Retired,0,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA", USA,11/13/1990,0:37:00,Titan IV(402)A,DSP,Retired,0,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Multinational,11/14/1990,6:33:00,Tsyklon-2,Cosmos 2103,Retired,0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA", USA,11/15/1990,23:48:00,Space Shuttle Atlantis,STS-38,Retired,450000000,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia", Russia,11/20/1990,2:33:00,Molniya-M /Block 2BL,Cosmos 2105,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,11/20/1990,23:11:00,Ariane 42P,"Satcom C1, GStar-4",Retired,0,Success
RVSN USSR,"Site 131/29, Baikonur Cosmodrome, Kazakhstan",Multinational,11/20/1990,,Rokot/Briz K,GVM Demo Flight,Retired,0,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia", Russia,11/23/1990,3:51:00,Molniya-M /Block ML,Molniya-1 n†­146,Retired,0,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,11/26/1990,21:39:00,Delta II 7925,USA-66 (GPS IIA-1),Retired,0,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia", Russia,11/28/1990,,Tsyklon-3,Cosmos 2106,Retired,0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA", USA,12/1/1990,15:57:00,Atlas-E/F Star-37S-ISS,DMSP F-10,Retired,0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA", USA,12/2/1990,6:49:00,Space Shuttle Columbia,STS-35,Retired,450000000,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Multinational,12/4/1990,0:48:00,Tsyklon-2,Cosmos 2107,Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,12/10/1990,7:54:00,Cosmos-3M (11K65M),Cosmos 2112,Retired,0,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia", Russia,12/22/1990,7:28:00,Tsyklon-3,Cosmos 2114 to 2119,Retired,0,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,1/8/1991,0:53:00,Delta II 7925,NATO 4A,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,1/15/1991,23:10:00,Ariane 44L,"Italsat-1, Eutelsat 2F2",Retired,0,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Multinational,1/18/1991,11:34:00,Tsyklon-2,Cosmos 2122,Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,1/29/1991,,Cosmos-3M (11K65M),Oscar-21,Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,2/5/1991,2:36:00,Cosmos-3M (11K65M),Cosmos 2123,Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,2/12/1991,2:44:00,Cosmos-3M (11K65M),Cosmos 2125 to 2132,Retired,0,Success
